Genus,Size,Bleached,Dead,Site,Transect,Count,TransectLength
Pocillopora,53,0,100,LTER_Exp,1,1,15
Pocillopora,45,0,100,LTER_Exp,1,1,15
Pocillopora,43,0,100,LTER_Exp,1,1,15
Pocillopora,43,0,0,LTER_Exp,1,1,15
Pocillopora,40,0,100,LTER_Exp,1,2,15
Pocillopora,40,0,100,LTER_Exp,1,1,15
Pocillopora,39,0,100,LTER_Exp,1,1,15
Pocillopora,39,0,85,LTER_Exp,1,1,15
Pocillopora,38,0,100,LTER_Exp,1,1,15
Pocillopora,38,0,100,LTER_Exp,1,1,15
Pocillopora,38,0,100,LTER_Exp,1,1,15
Pocillopora,37,0,95,LTER_Exp,1,1,15
Pocillopora,37,0,100,LTER_Exp,1,1,15
Pocillopora,37,0,100,LTER_Exp,1,1,15
Pocillopora,37,0,100,LTER_Exp,1,1,15
Pocillopora,37,0,100,LTER_Exp,1,1,15
Pocillopora,36,0,100,LTER_Exp,1,1,15
Pocillopora,36,0,100,LTER_Exp,1,1,15
Pocillopora,36,0,100,LTER_Exp,1,1,15
Pocillopora,36,0,0,LTER_Exp,1,1,15
Pocillopora,36,0,10,LTER_Exp,1,1,15
Pocillopora,35,0,100,LTER_Exp,1,1,15
Pocillopora,35,0,0,LTER_Exp,1,1,15
Pocillopora,34,0,100,LTER_Exp,1,1,15
Pocillopora,34,0,100,LTER_Exp,1,1,15
Pocillopora,34,0,90,LTER_Exp,1,1,15
Pocillopora,34,0,0,LTER_Exp,1,1,15
Pocillopora,33,0,100,LTER_Exp,1,1,15
Pocillopora,33,0,100,LTER_Exp,1,1,15
Pocillopora,33,0,100,LTER_Exp,1,1,15
Pocillopora,32,0,0,LTER_Exp,1,1,15
Pocillopora,32,0,100,LTER_Exp,1,2,15
Pocillopora,32,0,0,LTER_Exp,1,1,15
Pocillopora,32,0,0,LTER_Exp,1,1,15
Pocillopora,32,0,0,LTER_Exp,1,1,15
Pocillopora,32,0,10,LTER_Exp,1,1,15
Pocillopora,32,0,10,LTER_Exp,1,1,15
Pocillopora,32,0,25,LTER_Exp,1,1,15
Pocillopora,32,0,0,LTER_Exp,1,1,15
Pocillopora,32,0,100,LTER_Exp,1,1,15
Pocillopora,31,0,100,LTER_Exp,1,2,15
Pocillopora,31,0,5,LTER_Exp,1,1,15
Pocillopora,31,0,95,LTER_Exp,1,1,15
Pocillopora,31,0,100,LTER_Exp,1,1,15
Pocillopora,31,0,100,LTER_Exp,1,1,15
Pocillopora,31,0,0,LTER_Exp,1,1,15
Pocillopora,31,0,100,LTER_Exp,1,1,15
Pocillopora,31,0,5,LTER_Exp,1,1,15
Pocillopora,30,0,100,LTER_Exp,1,1,15
Pocillopora,30,0,100,LTER_Exp,1,1,15
Pocillopora,30,0,85,LTER_Exp,1,1,15
Pocillopora,30,0,0,LTER_Exp,1,1,15
Pocillopora,30,0,100,LTER_Exp,1,1,15
Pocillopora,30,0,0,LTER_Exp,1,1,15
Pocillopora,30,0,0,LTER_Exp,1,1,15
Pocillopora,29,0,90,LTER_Exp,1,1,15
Pocillopora,28,0,100,LTER_Exp,1,1,15
Pocillopora,28,0,100,LTER_Exp,1,1,15
Pocillopora,28,0,40,LTER_Exp,1,1,15
Pocillopora,28,0,100,LTER_Exp,1,1,15
Pocillopora,28,0,0,LTER_Exp,1,1,15
Pocillopora,28,0,0,LTER_Exp,1,1,15
Pocillopora,28,0,100,LTER_Exp,1,1,15
Pocillopora,28,0,0,LTER_Exp,1,1,15
Pocillopora,27,0,0,LTER_Exp,1,1,15
Pocillopora,27,0,0,LTER_Exp,1,1,15
Pocillopora,27,0,100,LTER_Exp,1,1,15
Pocillopora,27,0,100,LTER_Exp,1,1,15
Pocillopora,27,0,100,LTER_Exp,1,2,15
Pocillopora,27,0,0,LTER_Exp,1,1,15
Pocillopora,27,0,100,LTER_Exp,1,1,15
Pocillopora,27,0,100,LTER_Exp,1,1,15
Pocillopora,27,0,20,LTER_Exp,1,1,15
Pocillopora,26,0,100,LTER_Exp,1,1,15
Pocillopora,26,0,50,LTER_Exp,1,1,15
Pocillopora,26,0,100,LTER_Exp,1,1,15
Pocillopora,26,0,0,LTER_Exp,1,1,15
Pocillopora,26,0,0,LTER_Exp,1,1,15
