Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength
KS,LTER_Exp,Pocillopora,15,0,0,0,10
KS,LTER_Exp,Pocillopora,30,0,0,0,10
KS,LTER_Exp,Pocillopora,25,0,100,0,10
KS,LTER_Exp,Pocillopora,15,0,0,0,10
KS,LTER_Exp,Pocillopora,25,0,0,0,10
KS,LTER_Exp,Pocillopora,25,0,0,0,10
KS,LTER_Exp,Pocillopora,13,0,0,0,10
KS,LTER_Exp,Pocillopora,30,0,100,0,10
KS,LTER_Exp,Pocillopora,10,0,0,0,10
KS,LTER_Exp,Pocillopora,7,0,0,0,10
KS,LTER_Exp,Pocillopora,10,50,0,0,10
KS,LTER_Exp,Pocillopora,20,0,0,0,10
KS,LTER_Exp,Pocillopora,12,0,0,0,10
KS,LTER_Exp,Pocillopora,10,0,0,0,10
KS,LTER_Exp,Pocillopora,16,0,0,0,10
KS,LTER_Exp,Acropora,6,10,0,0,10
KS,LTER_Exp,Pocillopora,18,0,0,0,10
KS,LTER_Exp,Pocillopora,16,0,0,0,10
KS,LTER_Exp,Pocillopora,7,0,0,0,10
KS,LTER_Exp,Pocillopora,20,0,0,0,10
KS,LTER_Exp,Pocillopora,14,0,0,0,10
KS,LTER_Exp,Pocillopora,9,0,0,0,10
KS,LTER_Exp,Pocillopora,13,0,10,0,10
KS,LTER_Exp,Pocillopora,30,0,0,0,10
KS,LTER_Exp,Pocillopora,23,0,0,0,10
KS,LTER_Exp,Pocillopora,31,0,0,0,10
KS,LTER_Exp,Pocillopora,10,0,0,0,10
KS,LTER_Exp,Pocillopora,12,0,100,0,10
KS,LTER_Exp,Pocillopora,28,0,100,0,10
KS,LTER_Exp,Pocillopora,17,0,100,0,10
KS,LTER_Exp,Pocillopora,15,0,0,0,10
KS,LTER_Exp,Pocillopora,38,0,100,0,10
KS,LTER_Exp,Pocillopora,16,0,0,0,10
KS,LTER_Exp,Pocillopora,27,0,0,0,10
KS,LTER_Exp,Pocillopora,47,0,100,0,10
KS,LTER_Exp,Pocillopora,11,0,0,0,10
KS,LTER_Exp,Pocillopora,13,0,10,0,10
KS,LTER_Exp,Pocillopora,20,0,5,0,10
KS,LTER_Exp,Acropora,7,0,100,0,10
KS,LTER_Exp,Pocillopora,18,0,0,0,10
KS,LTER_Exp,Pocillopora,12,0,0,0,10
KS,LTER_Exp,Pocillopora,13,0,0,0,10
KS,LTER_Exp,Pocillopora,23,0,0,0,10
KS,LTER_Exp,Acropora,16,0,100,0,10
KS,LTER_Exp,Pocillopora,18,0,0,0,10
KS,LTER_Exp,Pocillopora,24,0,0,0,10
KS,LTER_Exp,Pocillopora,15,0,0,0,10
KS,LTER_Exp,Pocillopora,22,0,0,0,10
KS,LTER_Exp,Pocillopora,12,0,0,0,10
KS,LTER_Exp,Acropora,18,0,0,0,10
KS,LTER_Exp,Acropora,8,0,100,0,10
KS,LTER_Exp,Pocillopora,15,0,5,0,10
KS,LTER_Exp,Pocillopora,15,0,0,0,10
KS,LTER_Exp,Pocillopora,26,0,0,0,10
KS,LTER_Exp,Pocillopora,24,0,0,0,10
KS,LTER_Exp,Pocillopora,30,0,100,0,10
KS,LTER_Exp,Pocillopora,7,0,0,0,10
KS,LTER_Exp,Pocillopora,24,0,100,0,10
KS,LTER_Exp,Pocillopora,52,0,20,0,10
KS,LTER_Exp,Acropora,19,50,0,0,10
KS,LTER_Exp,Pocillopora,24,0,0,0,10
KS,LTER_Exp,Pocillopora,35,25,25,0,10
KS,LTER_Exp,Pocillopora,23,0,5,0,10
