Observer,Site,Date,Habitat,Depth_m,Genus,SizeStandardized,percent_Bleach,percent_VN_Dead,percent_N_Dead,Count
DB,LTER1,2019-07-09,OR,10,Pocillopora,5-9,0,0,0,6
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,10
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,10
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,0,0,2
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,40,20,40,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,5-9,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,20,0,0,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,5-9,10,0,80,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,5,10,80,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,60,20,20,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,15,0,5,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,50,0,20,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,10,0,0,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,50,20,30,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,50,30,20,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,5-9,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,40,20,40,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,5-9,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,40,20,40,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,10,50,40,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,10,30,60,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,15,0,10,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,8
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,9
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,0,0,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,20,30,50,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,20,50,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,10,10,80,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,50,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,11
DB,LTER1,2019-07-09,OR,10,Pocillopora,5-9,0,0,0,9
DB,LTER1,2019-07-09,OR,10,Pocillopora,5-9,30,20,50,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,10,10,80,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,10,10,80,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,30,0,0,2
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,20,20,60,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,50,0,0,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,0,0,100,4
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,3
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,20,0,20,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,10,0,90,1
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,2
DB,LTER1,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,3
DB,LTER1,2019-07-09,OR,10,Pocillopora,30+,10,20,70,1
DB,LTER2,2019-07-09,OR,10,Pocillopora,5-9,0,0,0,15
DB,LTER2,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,32
DB,LTER2,2019-07-09,OR,10,Pocillopora,10-29,0,0,0,9
DB,LTER2,2019-07-09,OR,10,Pocillopora,30+,0,0,0,1
DB,LTER2,2019-07-09,OR,10,Pocillopora,10-29,50,0,0,1
DB,LTER2,2019-07-09,OR,10,Pocillopora,5-9,0,0,100,1
DB,LTER2,2019-07-09,OR,10,Pocillopora,10-29,0,0,100,7
