Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength,BeltSize
AA,LTER_Exp,Pocillopora,1,0,0,2,15,2
AA,LTER_Exp,Pocillopora,1,0,0,2,15,2
AA,LTER_Exp,Pocillopora,2,0,0,2,15,2
AA,LTER_Exp,Pocillopora,2,0,0,2,15,2
AA,LTER_Exp,Pocillopora,2,0,0,2,15,2
AA,LTER_Exp,Pocillopora,4,0,0,2,15,2
AA,LTER_Exp,Pocillopora,4,0,0,2,15,2
AA,LTER_Exp,Pocillopora,5,0,0,2,15,2
AA,LTER_Exp,Pocillopora,5,0,0,2,15,2
AA,LTER_Exp,Pocillopora,5,0,0,2,15,2
AA,LTER_Exp,Pocillopora,5,0,0,2,15,2
AA,LTER_Exp,Acropora,3,0,0,2,15,2
AA,LTER_Exp,Acropora,5,0,0,2,15,2
AA,LTER_Exp,Acropora,5,0,0,2,15,2
AA,LTER_Exp,Acropora,5,0,0,2,15,2
AA,LTER_Exp,Pocillopora,1,0,0,2,15,2
AA,LTER_Exp,Pocillopora,2,0,0,2,15,2
AA,LTER_Exp,Pocillopora,2,0,0,2,15,2
AA,LTER_Exp,Pocillopora,3,0,0,2,15,2
AA,LTER_Exp,Pocillopora,4,0,0,2,15,2
AA,LTER_Exp,Pocillopora,5,0,0,2,15,2
AA,LTER_Exp,Acropora,3,0,0,2,15,2
AA,LTER_Exp,Acropora,3,0,0,2,15,2
AA,LTER_Exp,Acropora,3,0,0,2,15,2
AA,LTER_Exp,Acropora,5,0,0,2,15,2
AA,LTER_Exp,Pocillopora,1,0,0,2,15,2
AA,LTER_Exp,Pocillopora,2,0,0,2,15,2
AA,LTER_Exp,Pocillopora,2,0,0,2,15,2
AA,LTER_Exp,Pocillopora,3,0,0,2,15,2
AA,LTER_Exp,Pocillopora,3,0,0,2,15,2
AA,LTER_Exp,Pocillopora,3,0,0,2,15,2
AA,LTER_Exp,Pocillopora,3,0,0,2,15,2
AA,LTER_Exp,Pocillopora,3,0,0,2,15,2
AA,LTER_Exp,Pocillopora,3,0,0,2,15,2
AA,LTER_Exp,Pocillopora,4,0,0,2,15,2
AA,LTER_Exp,Pocillopora,4,0,0,2,15,2
AA,LTER_Exp,Pocillopora,5,0,0,2,15,2
AA,LTER_Exp,Pocillopora,5,0,0,2,15,2
AA,LTER_Exp,Pocillopora,5,0,100,2,15,2
AA,LTER_Exp,Acropora,1,0,0,2,15,2
AA,LTER_Exp,Acropora,4,0,0,2,15,2
AA,LTER_Exp,Pocillopora,1,0,0,3,15,2
AA,LTER_Exp,Pocillopora,2,0,0,3,15,2
AA,LTER_Exp,Pocillopora,2,0,0,3,15,2
AA,LTER_Exp,Pocillopora,3,0,0,3,15,2
AA,LTER_Exp,Pocillopora,4,0,0,3,15,2
AA,LTER_Exp,Pocillopora,4,0,0,3,15,2
AA,LTER_Exp,Pocillopora,4,0,0,3,15,2
AA,LTER_Exp,Pocillopora,4,0,0,3,15,2
AA,LTER_Exp,Pocillopora,5,0,0,3,15,2
AA,LTER_Exp,Pocillopora,5,0,0,3,15,2
AA,LTER_Exp,Pocillopora,5,0,0,3,15,2
AA,LTER_Exp,Pocillopora,5,0,100,3,15,2
AA,LTER_Exp,Acropora,3,0,0,3,15,2
AA,LTER_Exp,Acropora,3,0,0,3,15,2
AA,LTER_Exp,Acropora,4,0,0,3,15,2
AA,LTER_Exp,Pocillopora,1,0,0,3,15,2
AA,LTER_Exp,Pocillopora,2,0,0,3,15,2
AA,LTER_Exp,Pocillopora,2,0,0,3,15,2
AA,LTER_Exp,Pocillopora,2,0,0,3,15,2
AA,LTER_Exp,Pocillopora,3,0,0,3,15,2
AA,LTER_Exp,Pocillopora,3,0,0,3,15,2
AA,LTER_Exp,Pocillopora,4,0,0,3,15,2
AA,LTER_Exp,Pocillopora,5,0,0,3,15,2
AA,LTER_Exp,Pocillopora,5,0,0,3,15,2
AA,LTER_Exp,Pocillopora,5,0,0,3,15,2
AA,LTER_Exp,Pocillopora,5,0,0,3,15,2
AA,LTER_Exp,Acropora,1,0,0,3,15,2
AA,LTER_Exp,Acropora,1,0,0,3,15,2
AA,LTER_Exp,Acropora,3,0,0,3,15,2
AA,LTER_Exp,Pocillopora,1,0,0,3,15,2
AA,LTER_Exp,Pocillopora,1,0,0,3,15,2
AA,LTER_Exp,Pocillopora,2,0,0,3,15,2
AA,LTER_Exp,Pocillopora,2,0,0,3,15,2
AA,LTER_Exp,Pocillopora,3,0,0,3,15,2
AA,LTER_Exp,Pocillopora,3,0,0,3,15,2
AA,LTER_Exp,Pocillopora,3,0,0,3,15,2
AA,LTER_Exp,Pocillopora,3,0,0,3,15,2
AA,LTER_Exp,Pocillopora,4,0,0,3,15,2
AA,LTER_Exp,Acropora,1,0,0,3,15,2
AA,LTER_Exp,Pocillopora,1,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,5,0,0,4,15,2
AA,LTER_Exp,Pocillopora,5,0,0,4,15,2
AA,LTER_Exp,Acropora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,5,0,0,4,15,2
AA,LTER_Exp,Pocillopora,5,0,0,4,15,2
AA,LTER_Exp,Pocillopora,5,0,0,4,15,2
AA,LTER_Exp,Acropora,1,0,0,4,15,2
AA,LTER_Exp,Acropora,1,0,0,4,15,2
AA,LTER_Exp,Acropora,1,0,0,4,15,2
AA,LTER_Exp,Acropora,2,0,0,4,15,2
AA,LTER_Exp,Acropora,2,0,0,4,15,2
AA,LTER_Exp,Acropora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,1,0,0,4,15,2
AA,LTER_Exp,Pocillopora,1,0,0,4,15,2
AA,LTER_Exp,Pocillopora,1,0,0,4,15,2
AA,LTER_Exp,Pocillopora,1,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,5,0,0,4,15,2
AA,LTER_Exp,Acropora,1,0,0,4,15,2
AA,LTER_Exp,Acropora,1,0,0,4,15,2
AA,LTER_Exp,Acropora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
