"year","site","percent_cover_mean"
"2005","LTER 1",36.5066666666667
"2005","LTER 2",41.0241666666667
"2005","LTER 3",28.1983333333333
"2005","LTER 4",32.445
"2005","LTER 5",33.8575
"2005","LTER 6",23.7608333333333
"2006","LTER 1",38.5041666666667
"2006","LTER 2",33.8475
"2006","LTER 3",30.9616666666667
"2006","LTER 4",32.3525
"2006","LTER 5",38.2541666666667
"2006","LTER 6",21.805
"2007","LTER 1",38.0458333333333
"2007","LTER 2",29.0491666666667
"2007","LTER 3",25.9816666666667
"2007","LTER 4",29.95
"2007","LTER 5",34.5383333333333
"2007","LTER 6",23.35
"2008","LTER 1",20.465
"2008","LTER 2",22.615
"2008","LTER 3",13.6408333333333
"2008","LTER 4",27.4241666666667
"2008","LTER 5",30.0775
"2008","LTER 6",15.4891666666667
"2009","LTER 1",15.69
"2009","LTER 2",17.5108333333333
"2009","LTER 3",7.68833333333333
"2009","LTER 4",12.49
"2009","LTER 5",23.7533333333333
"2009","LTER 6",9.44916666666667
"2010","LTER 1",12.2091666666667
"2010","LTER 2",14.7691666666667
"2010","LTER 3",5.05916666666667
"2010","LTER 4",8.97166666666667
"2010","LTER 5",18.2275
"2010","LTER 6",8.05833333333333
"2011","LTER 1",10.0508333333333
"2011","LTER 2",9.75333333333333
"2011","LTER 3",3.01083333333333
"2011","LTER 4",8.95166666666667
"2011","LTER 5",18.4016666666667
"2011","LTER 6",9.66
"2012","LTER 1",5.2225
"2012","LTER 2",8.53916666666667
"2012","LTER 3",2.84333333333333
"2012","LTER 4",7.3125
"2012","LTER 5",18.4058333333333
"2012","LTER 6",11.3483333333333
"2013","LTER 1",8.28
"2013","LTER 2",10.6016666666667
"2013","LTER 3",3.885
"2013","LTER 4",11.8783333333333
"2013","LTER 5",18.2216666666667
"2013","LTER 6",15.6591666666667
"2014","LTER 1",14.1566666666667
"2014","LTER 2",12.5858333333333
"2014","LTER 3",5.15166666666667
"2014","LTER 4",11.8141666666667
"2014","LTER 5",21.9558333333333
"2014","LTER 6",18.3483333333333
"2015","LTER 1",22.635
"2015","LTER 2",18.0616666666667
"2015","LTER 3",5.565
"2015","LTER 4",14.6591666666667
"2015","LTER 5",27.6266666666667
"2015","LTER 6",20.0625
"2016","LTER 1",28.7883333333333
"2016","LTER 2",20.8091666666667
"2016","LTER 3",7.41
"2016","LTER 4",21.365
"2016","LTER 5",33.455
"2016","LTER 6",20.0775
"2017","LTER 1",32.5133333333333
"2017","LTER 2",28.9641666666667
"2017","LTER 3",8.98583333333333
"2017","LTER 4",23.935
"2017","LTER 5",39.3933333333333
"2017","LTER 6",24.5833333333333
"2018","LTER 1",35.7841666666667
"2018","LTER 2",32.4825
"2018","LTER 3",9.94083333333333
"2018","LTER 4",26.3233333333333
"2018","LTER 5",45.0341666666667
"2018","LTER 6",27.5341666666667
"2019","LTER 1",38.4541666666667
"2019","LTER 2",35.8375
"2019","LTER 3",12.4083333333333
"2019","LTER 4",27.8033333333333
"2019","LTER 5",44.1908333333333
"2019","LTER 6",28.2725
