"year","site","percent_cover_mean"
2005,"LTER 1",36.5066666666667
2005,"LTER 2",41.0241666666667
2005,"LTER 3",28.1983333333333
2005,"LTER 4",32.445
2005,"LTER 5",33.8575
2005,"LTER 6",23.7608333333333
2006,"LTER 1",38.5041666666667
2006,"LTER 2",33.8475
2006,"LTER 3",30.9616666666667
2006,"LTER 4",32.3525
2006,"LTER 5",38.2541666666667
2006,"LTER 6",21.805
2007,"LTER 1",38.3158333333333
2007,"LTER 2",29.8558333333333
2007,"LTER 3",26.0366666666667
2007,"LTER 4",30.0091666666667
2007,"LTER 5",34.6358333333333
2007,"LTER 6",25.0641666666667
2008,"LTER 1",20.465
2008,"LTER 2",22.615
2008,"LTER 3",13.6408333333333
2008,"LTER 4",27.4241666666667
2008,"LTER 5",30.0775
2008,"LTER 6",15.4891666666667
2009,"LTER 1",15.69
2009,"LTER 2",17.5108333333333
2009,"LTER 3",7.68833333333333
2009,"LTER 4",12.49
2009,"LTER 5",23.7533333333333
2009,"LTER 6",9.44916666666667
2010,"LTER 1",12.2091666666667
2010,"LTER 2",14.7691666666667
2010,"LTER 3",5.05916666666667
2010,"LTER 4",8.97166666666667
2010,"LTER 5",18.2275
2010,"LTER 6",8.05833333333333
2011,"LTER 1",10.0508333333333
2011,"LTER 2",9.75333333333333
2011,"LTER 3",3.01083333333333
2011,"LTER 4",8.95166666666667
2011,"LTER 5",18.4016666666667
2011,"LTER 6",9.66
2012,"LTER 1",5.2225
2012,"LTER 2",8.53916666666667
2012,"LTER 3",2.84333333333333
2012,"LTER 4",7.3125
2012,"LTER 5",18.4058333333333
2012,"LTER 6",11.3483333333333
2013,"LTER 1",9.92916666666667
2013,"LTER 2",12.2833333333333
2013,"LTER 3",14.9475
2013,"LTER 4",16.4133333333333
2013,"LTER 5",19.8133333333333
2013,"LTER 6",17.4483333333333
2014,"LTER 1",15.7466666666667
2014,"LTER 2",14.3483333333333
2014,"LTER 3",15.2516666666667
2014,"LTER 4",16.4225
2014,"LTER 5",23.6325
2014,"LTER 6",19.6991666666667
2015,"LTER 1",23.9491666666667
2015,"LTER 2",19.8716666666667
2015,"LTER 3",17.1458333333333
2015,"LTER 4",20.3
2015,"LTER 5",30.7616666666667
2015,"LTER 6",23.815
2016,"LTER 1",31.72
2016,"LTER 2",22.9891666666667
2016,"LTER 3",20.2875
2016,"LTER 4",29.8025
2016,"LTER 5",40.42
2016,"LTER 6",25.3991666666667
2017,"LTER 1",35.6991666666667
2017,"LTER 2",34.4975
2017,"LTER 3",22.9158333333333
2017,"LTER 4",33.3533333333333
2017,"LTER 5",46.1758333333333
2017,"LTER 6",30.4525
2018,"LTER 1",42.9483333333333
2018,"LTER 2",47.2583333333333
2018,"LTER 3",27.0541666666667
2018,"LTER 4",38.4575
2018,"LTER 5",54.4625
2018,"LTER 6",38.9083333333333
2019,"LTER 1",47.4333333333333
2019,"LTER 2",45.0908333333333
2019,"LTER 3",31.6791666666667
2019,"LTER 4",41.1575
2019,"LTER 5",54.4125
2019,"LTER 6",41.0875
