Family,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,NOTES
Acroporidae,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,Acropora,no notes
Acroporidae,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,Astreopora,no notes
Acroporidae,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,Montipora,no notes
Agariciidae,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,Pavona,no notes
Agariciidae,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,Leptoseris,no notes
Agariciidae,Not scored until 2007,Not scored until 2007,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,Gardineroseris,no notes
Astrocoeniidae,Not scored until 2007,Not scored until 2007,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,Stylocoeniella,no notes
Dendrophyllidae,Not scored until 2007,Not scored until 2007,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,Tubastraea,no notes
Fungiidae,"Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)","Fungiidae (Danafungia, Lithophyllo, Lobactis, Pleuractis)",no notes
Fungiidae,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,Sandolitha,no notes
Fungiidae,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,Herpolitha,no notes
insertae sedis,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,Leptastrea,no notes
insertae sedis,Not scored until 2007,Not scored until 2007,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,Pachyseris,no notes
insertae sedis,Not scored until 2014,Not scored until 2014,Not scored until 2014,Not scored until 2014,Not scored until 2014,Not scored until 2014,Not scored until 2014,Not scored until 2014,Not scored until 2014,Plesiastrea,Plesiastrea,Plesiastrea,Plesiastrea,Plesiastrea,Plesiastrea,no notes
Lobophyllidae,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,Acanthastrea,no notes
Lobophyllidae,Not scored until 2006,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,Lobophyllia,no notes
Merulinidae,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,Cyphastrea,no notes
Merulinidae,Dipsastraea,Dipsastraea,Dipsastraea,Dipsastraea,Dipsastraea,Dipsastraea,Dipsastraea,Dipsastraea,Dipsastraea,Dipsastraea,Dipsastraea,Goniastrea,Goniastrea,Goniastrea,Goniastrea,Genus changed in 2016 - Taxonomy still uncertain
Merulinidae,Phymastrea,Phymastrea,Phymastrea,Phymastrea,Phymastrea,Phymastrea,Phymastrea,Phymastrea,Phymastrea,Phymastrea,Phymastrea,Astrea,Astrea,Astrea,Astrea,Genus changed in 2016
Pocilloporidae,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,Pocillopora,no notes
