"taxonomy","n"
"Abudefduf septemfasciatus",149
"Abudefduf sexfasciatus",2278
"Abudefduf sordidus",41
"Acanthuridae unidentified",1
"Acanthurus achilles",3
"Acanthurus blochii",48
"Acanthurus guttatus",17
"Acanthurus lineatus",95
"Acanthurus mata",1
"Acanthurus nigricans",1317
"Acanthurus nigricauda",535
"Acanthurus nigrofuscus",13239
"Acanthurus nigros",631
"Acanthurus olivaceus",848
"Acanthurus pyroferus",1388
"Acanthurus thompsoni",318
"Acanthurus triostegus",8847
"Acanthurus xanthopterus",1
"Aetobatus ocellatus",6
"Aluterus scriptus",14
"Amanses scopas",141
"Amblyeleotris fasciata",10
"Amblygobius nocturnus",212
"Amblygobius phalaena",21
"Amphiprion chrysopterus",13
"Anampses caeruleopunctatus",117
"Anampses melanurus",25
"Anampses meleagrides",3
"Anampses twistii",138
"Aphareus furca",142
"Aprion virescens",7
"Arothron hispidus",16
"Arothron meleagris",42
"Arothron stellatus",5
"Aspidontus dussumieri",2
"Aspidontus taeniatus",22
"Asterropteryx ensifera",39
"Asterropteryx semipunctata",116
"Asterropteryx striata",7
"Atrosalarias fuscus",91
"Aulostomus chinensis",174
"Balistapus undulatus",2389
"Balistidae unidentified 1",1
"Balistoides viridescens",57
"Blenniella paula",1
"Blenniella sp.",1
"Blenniidae unidentified",11
"Blenniidae unidentified 5",10
"Blenniidae unidentified 6",1
"Blenniidae unidentified 7",1
"Bodianus axillaris",111
"Bothus mancus",4
"Bryaninops sp.",1
"Bryaninops tigris",17
"Callionymus filamentosus",1
"Calotomus carolinus",85
"Cantherhines dumerilii",60
"Cantherhines pardalis",6
"Cantherhines sandwichiensis",270
"Canthidermis maculata",13
"Canthigaster amboinensis",3
"Canthigaster bennetti",94
"Canthigaster janthinoptera",4
"Canthigaster solandri",1051
"Canthigaster sp. 1",2
"Canthigaster valentini",224
"Caracanthus maculatus",2075
"Caracanthus unipinna",163
"Carangidae sp.",1
"Carangidae sp. 1",14
"Carangoides ferdau",2
"Carangoides orthogrammus",4
"Caranx lugubris",1
"Caranx melampygus",69
"Carcharhinus amblyrhynchos",1
"Carcharhinus melanopterus",50
"Centropyge bispinosa",3678
"Centropyge flavicauda",10
"Centropyge flavissima",8043
"Centropyge heraldi",121
"Centropyge loricula",1986
"Centropyge multifasciata",2
"Cephalopholis argus",1876
"Cephalopholis sexmaculata",1
"Cephalopholis urodeta",1172
"Cetoscarus ocellatus",7
"Chaetodon auriga",671
"Chaetodon bennetti",37
"Chaetodon citrinellus",2020
"Chaetodon ephippium",251
"Chaetodon lunula",1430
"Chaetodon lunulatus",2555
"Chaetodon mertensii",85
"Chaetodon ornatissimus",1269
"Chaetodon pelewensis",3322
"Chaetodon quadrimaculatus",627
"Chaetodon reticulatus",1448
"Chaetodon trichrous",145
"Chaetodon trifascialis",86
"Chaetodon ulietensis",505
"Chaetodon unimaculatus",1346
"Chaetodon vagabundus",1008
"Chanos chanos",10
"Cheilinus chlorourus",597
"Cheilinus oxycephalus",410
"Cheilinus sp.",1
"Cheilinus trilobatus",421
"Cheilinus undulatus",31
"Cheilio inermis",25
"Cheilodipterus macrodon",26
"Cheilodipterus quinquelineatus",228
"Chlorurus frontalis",34
"Chlorurus microrhinos",104
"Chlorurus spilurus",26137
"Chromis acares",22590
"Chromis agilis",250
"Chromis atripectoralis",1114
"Chromis iomelas",20460
"Chromis margaritifer",7184
"Chromis vanderbilti",33601
"Chromis viridis",7775
"Chromis xanthura",1500
"Chrysiptera brownriggii",1934
"Chrysiptera glauca",27
"Cirrhilabrus exquisitus",2005
"Cirrhilabrus scottorum",13246
"Cirrhitichthys oxycephalus",2
"Cirripectes sp.",1
"Cirripectes variolosus",145
"Coris aygula",244
"Coris gaimard",570
"Corythoichthys flavofasciatus",51
"Ctenochaetus binotatus",1065
"Ctenochaetus flavicauda",3844
"Ctenochaetus striatus",25285
"Ctenogobiops feroculus",836
"Cypselurus simus",39
"Dascyllus aruanus",1021
"Dascyllus flavicaudus",8497
"Dascyllus trimaculatus",1407
"Diodon hystrix",81
"Diplogrammus goramensis",1
"Echeneis naucrates",2
"Echidna nebulosa",12
"Enchelycore pardalis",1
"Epibulus insidiator",1286
"Epinephelus fasciatus",36
"Epinephelus hexagonatus",7
"Epinephelus merra",557
"Eviota infulata",6
"Eviota sp.",26
"Eviota sp. 2",1
"Eviota sp. 3",1
"Exallias brevis",70
"Fistularia commersonii",392
"Forcipiger flavissimus",711
"Forcipiger longirostris",106
