Year,Date,Start,End,Location,Site,Habitat,Transect,Swath,Taxonomy,Family,Count,Total_Length,Length_Anomaly,Biomass,Coarse_Trophic,Fine_Trophic,Cloud_Cover,Wind_Velocity,Sea_State,Swell,Visibility,Surge,Diver
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Canthigaster solandri,Tetraodontidae,1,40,0,      1.86,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Caracanthus maculatus,Scorpaenidae,3,20,0,      0.55,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Caracanthus maculatus,Scorpaenidae,27,25,0,      9.54,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Nemateleotris magnifica,Gobiidae,1,25,0,      0.28,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Nemateleotris magnifica,Gobiidae,1,60,0,      3.56,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Neocirrhites armatus,Cirrhitidae,1,25,0,      0.19,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Neocirrhites armatus,Cirrhitidae,9,30,0,      3.03,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Neocirrhites armatus,Cirrhitidae,10,35,0,      5.58,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Neocirrhites armatus,Cirrhitidae,2,40,0,      1.73,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites arcatus,Cirrhitidae,5,25,0,      0.93,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites arcatus,Cirrhitidae,4,35,0,      2.23,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
