phylum,subphylum,infraphylum,class,subclass,division,subdivision,order,family,genus,speciesbinomial,commonname
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Albuliformes,Albulidae,Albula,Albula forsteri,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Albuliformes,Albulidae,Albula,Albula neoguinaica,Sharpjaw bonefish
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,Anguilla marmorata,Marbled Eel
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,Anguilla megastoma,Polynesian longfin eel
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,Anguilla obscura,South Pacific eel
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Chlopsidae,Kaupichthys,Kaupichthys brachychirus,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Chlopsidae,Kaupichthys,Kaupichthys diodontus,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Congridae,Conger,Conger cinereus,Moustache conger
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Congridae,Gorgasia,Gorgasia galzini,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Congridae,Heteroconger,Heteroconger hassi,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Congridae,Heteroconger,Heteroconger lentiginosus,Masked Garden Eel
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Congridae,Poeciloconger,Poeciloconger fasciatus,Barred Sand Conger
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Moringuidae,Moringua,Moringua javanica,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Moringuidae,Moringua,Moringua sp.,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Anarchias,Anarchias allardicei,Allardice's moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Anarchias,Anarchias leucurus,Snyder's Moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Anarchias,Anarchias seychellensis,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Channomuraena,Channomuraena vittata,Broadbanded moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Echidna,Echidna leucotaenia,Whiteface moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Echidna,Echidna nebulosa,Snowflake moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Echidna,Echidna polyzona,Barred moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Echidna,Echidna unicolor,Unicolor moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Enchelycore,Enchelycore bayeri,Bayer's moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Enchelycore,Enchelycore canina,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Enchelycore,Enchelycore pardalis,Dragon moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Enchelycore,Enchelycore schismatorhynchus,White-margined moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Enchelynassa,Enchelynassa canina,Viper Moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnomuraena,Gymnomuraena zebra,Zebra moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax albimarginatus,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax berndti,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax buroensis,Vagrant moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax chilospilus,Lipspot moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax elegans,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax enigmaticus,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax eurostus,Stout moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax fimbriatus,Fimbriated moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax flavimarginatus,Yellowmargin moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax formosus,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax gracilicauda,Slendertail moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax javanicus,Giant moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax kidako,NULL
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax margaritophorus,Blotched-neck moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax melatremus,Dwarf moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax meleagris,Whitemouth moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax monostigma,Onespot moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax pictus,Peppered moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax pindae,Pinda moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax richardsonii,Richardson's moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax rueppellii,Yellowbanded moray
Chordata,Craniata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax thyrsoideus,White-eye moray
