Year,Date,Start,End,Location,Site,Habitat,Transect,Swath,Taxonomy,Family,Count,Cloud_Cover,Wind_Velocity,Sea_State,Swell,Visibility,Surge,Diver
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Canthigaster solandri,Tetraodontidae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Caracanthus maculatus,Scorpaenidae,6,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Chrysiptera brownriggii,Pomacentridae,10,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Gnatholepis anjerensis,Gobiidae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Neocirrhites armatus,Cirrhitidae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Paracirrhites arcatus,Cirrhitidae,9,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Plectroglyphidodon johnstonianus,Pomacentridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Pseudocheilinus hexataenia,Labridae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Sargocentron caudimaculatum,Holocentridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Sargocentron microstoma,Holocentridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Sargocentron tiere,Holocentridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Stegastes nigricans,Pomacentridae,8,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Stegastes punctatus,Pomacentridae,7,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Abudefduf sexfasciatus,Pomacentridae,8,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Acanthurus nigrofuscus,Acanthuridae,54,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Acanthurus olivaceus,Acanthuridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Acanthurus triostegus,Acanthuridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Arothron meleagris,Tetraodontidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Canthigaster solandri,Tetraodontidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Centropyge flavissima,Pomacanthidae,10,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chaetodon citrinellus,Chaetodontidae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chaetodon ephippium,Chaetodontidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chaetodon reticulatus,Chaetodontidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chaetodon trifascialis,Chaetodontidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chaetodon vagabundus,Chaetodontidae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chlorurus spilurus,Scaridae,13,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chromis iomelas,Pomacentridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chromis margaritifer,Pomacentridae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Chrysiptera brownriggii,Pomacentridae,17,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Coris gaimard,Labridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Ctenochaetus binotatus,Acanthuridae,15,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Ctenochaetus striatus,Acanthuridae,9,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Dascyllus flavicaudus,Pomacentridae,8,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Gomphosus varius,Labridae,10,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Halichoeres hortulanus,Labridae,6,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Halichoeres margaritaceus,Labridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Labroides bicolor,Labridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Labroides dimidiatus,Labridae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Lutjanus kasmira,Lutjanidae,1,70,1,1,0,15,0,AB+SH
